dc_id,region_id,carrier_service_id,zip3,allowed_state_count,allowed_states,has_coverage
35,3,9,452,37,AL|AR|AZ|CA|CT|DE|FL|GA|IA|IL|IN|KS|KY|LA|MA|MD|ME|MI|MN|MO|MS|NC|NE|NH|NJ|NV|NY|OH|OK|PA|SC|TN|TX|UT|VA|WA|WI,True
35,3,10,452,10,CT|DC|GA|IL|IN|MI|NJ|NY|OH|TX,True
35,3,11,452,24,AR|CA|FL|GA|IL|KY|LA|MA|MD|MI|MN|MO|MS|NC|NJ|NY|OH|OK|PA|SC|TN|TX|VA|WA,True
35,3,12,452,4,GA|IN|KY|OH,True
35,3,13,452,0,,False
35,3,14,452,0,,False
35,3,15,452,0,,False
35,3,16,452,0,,False
35,3,17,452,0,,False
35,3,18,452,0,,False
36,9,1,941,0,,False
36,9,2,941,0,,False
36,9,3,941,0,,False
36,9,4,941,2,CA|WA,True
36,9,5,941,16,CA|CO|FL|IL|KS|LA|MA|NC|NH|NJ|NM|NY|OR|TX|UT|WA,True
36,9,6,941,17,AL|CT|DE|FL|GA|IL|IN|KY|MD|NJ|NY|OH|OK|PA|SC|TX|WI,True
36,9,7,941,0,,False
36,9,8,941,8,AZ|CA|CO|ID|NV|OR|UT|WA,True
36,9,9,941,26,AZ|CA|CO|CT|DC|FL|GA|IL|IN|MA|MD|MN|MO|NC|NM|NV|NY|OR|PA|SC|TN|TX|UT|VA|WA|WI,True
36,9,10,941,2,CA|TX,True
36,9,11,941,18,AR|AZ|CA|FL|GA|HI|IL|LA|MD|MS|NC|NY|OR|PA|SC|TX|UT|WA,True
36,9,12,941,3,CA|UT|WA,True
36,9,13,941,0,,False
36,9,14,941,0,,False
36,9,15,941,0,,False
36,9,16,941,0,,False
36,9,17,941,0,,False
36,9,18,941,0,,False
37,10,1,309,0,,False
37,10,2,309,0,,False
37,10,3,309,0,,False
37,10,4,309,0,,False
37,10,5,309,17,CA|FL|GA|IL|KS|LA|MA|MI|MN|MO|NC|NJ|NY|SC|TX|UT|WV,True
37,10,6,309,25,AL|AR|CT|DC|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NY|OH|OK|PA|SC|TN|TX|VA|WV,True
37,10,7,309,0,,False
37,10,8,309,7,AZ|CA|ID|NV|OR|UT|WA,True
37,10,9,309,31,AZ|CA|CO|CT|FL|GA|IL|IN|KS|KY|LA|MD|MI|MN|MO|NC|NH|NJ|NV|NY|OH|OK|OR|PA|SC|TN|TX|UT|VA|WA|WI,True
37,10,10,309,4,GA|IN|NY|TX,True
37,10,11,309,22,AL|CA|DC|DE|FL|GA|IL|KY|LA|MA|MD|MI|MN|MO|NC|NJ|NY|OH|OK|SC|TN|TX,True
37,10,12,309,5,GA|PA|SC|TX|UT,True
37,10,13,309,0,,False
37,10,14,309,0,,False
37,10,15,309,0,,False
37,10,16,309,0,,False
37,10,17,309,0,,False
37,10,18,309,0,,False
38,10,1,322,0,,False
38,10,2,322,0,,False
38,10,3,322,0,,False
38,10,4,322,1,AL,True
38,10,5,322,23,AL|CA|CO|CT|FL|GA|IL|KS|LA|MA|MD|MI|MN|MS|NC|NJ|NY|OH|OR|PA|TX|UT|WA,True
38,10,6,322,27,AL|AR|CT|DC|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NM|NY|OH|OK|PA|SC|TN|TX|VA|WI|WV,True
38,10,7,322,0,,False
38,10,8,322,8,AZ|CA|CO|ID|NV|OR|UT|WA,True
38,10,9,322,35,AL|AR|AZ|CA|CO|CT|DC|DE|FL|GA|IL|IN|KY|LA|MA|MD|MI|MN|MO|NC|NH|NJ|NV|NY|OH|OK|OR|PA|SC|TN|TX|UT|VA|WA|WI,True
38,10,10,322,7,CT|DC|FL|GA|IL|NY|TX,True
38,10,11,322,22,AL|AR|CA|DE|FL|GA|IL|KY|LA|MA|MD|MN|MO|MS|NC|NJ|NY|OH|OK|SC|TN|TX,True
38,10,12,322,5,FL|GA|LA|PA|TX,True
38,10,13,322,0,,False
38,10,14,322,0,,False
38,10,15,322,0,,False
38,10,16,322,0,,False
38,10,17,322,0,,False
38,10,18,322,0,,False
39,7,1,752,0,,False
39,7,2,752,0,,False
39,7,3,752,0,,False
39,7,4,752,1,TX,True
39,7,5,752,18,AZ|CA|CO|FL|GA|IL|KS|LA|MO|MS|NC|NJ|NM|NY|OR|TX|UT|WA,True
39,7,6,752,27,AL|AR|CT|DC|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NM|NY|OH|OK|PA|SC|TN|TX|VA|WI|WV,True
39,7,7,752,0,,False
39,7,8,752,8,AZ|CA|CO|ID|NV|OR|UT|WA,True
39,7,9,752,27,AR|AZ|CA|CO|FL|GA|IL|IN|KS|LA|MA|MD|MI|MO|MS|NH|NJ|NM|NV|NY|OK|OR|PA|SC|TN|TX|WA,True
39,7,10,752,4,CT|IL|IN|TX,True
39,7,11,752,23,AR|AZ|CA|CO|DE|FL|GA|HI|IL|KS|LA|MA|MN|MO|MS|NE|NJ|NY|OK|RI|SC|TX|UT,True
39,7,12,752,5,AL|CO|LA|PA|TX,True
39,7,13,752,0,,False
39,7,14,752,0,,False
39,7,15,752,0,,False
39,7,16,752,0,,False
39,7,17,752,0,,False
39,7,18,752,0,,False
40,24,1,846,0,,False
40,24,2,846,0,,False
40,24,3,846,0,,False
40,24,4,846,0,,False
40,24,5,846,0,,False
40,24,6,846,0,,False
40,24,7,846,0,,False
40,24,8,846,0,,False
40,24,9,846,0,,False
40,24,10,846,0,,False
40,24,11,846,0,,False
40,24,12,846,0,,False
40,24,13,846,0,,False
40,24,14,846,0,,False
40,24,15,846,0,,False
40,24,16,846,0,,False
40,24,17,846,0,,False
40,24,18,846,0,,False
41,24,1,871,0,,False
41,24,2,871,0,,False
41,24,3,871,0,,False
41,24,4,871,1,NM,True
41,24,5,871,22,AL|AZ|CA|CO|CT|DC|FL|GA|IL|LA|MA|MI|NC|NH|NJ|NM|NY|OR|TX|UT|WA|WY,True
41,24,6,871,26,AL|AR|CT|DC|DE|FL|GA|IL|IN|KS|KY|LA|MA|MD|MI|NJ|NM|NY|OH|OK|PA|SC|TN|TX|WI|WV,True
41,24,7,871,0,,False
41,24,8,871,8,AZ|CA|CO|ID|NV|OR|UT|WA,True
41,24,9,871,32,AR|AZ|CA|CO|CT|DC|FL|GA|IL|IN|KS|MA|MD|MI|MN|MO|NC|NJ|NM|NV|NY|OH|OK|OR|PA|SC|TN|TX|UT|VA|WA|WI,True
41,24,10,871,3,CA|NM|TX,True
41,24,11,871,21,AL|AR|AZ|CA|CO|FL|GA|IL|LA|MA|MD|MN|MO|NC|NY|OH|OR|SC|TX|UT|WA,True
41,24,12,871,7,CA|CO|NM|PA|TX|UT|WA,True
41,24,13,871,0,,False
41,24,14,871,0,,False
41,24,15,871,0,,False
41,24,16,871,0,,False
41,24,17,871,0,,False
41,24,18,871,0,,False
42,2,1,122,0,,False
42,2,2,122,0,,False
42,2,3,122,0,,False
42,2,4,122,2,MD|NH,True
42,2,5,122,13,CA|CT|FL|IL|KS|LA|MA|MD|NC|NH|NJ|NY|UT,True
